,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,1993-10-29,3.6615407466888423,3.685316985303705,3.6615407466888423,3.6615407466888428,1381000,0.0,0.0
1,1993-11-01,3.661539142362533,3.6853153705596924,3.661539142362533,3.6853153705596924,136800,0.0,0.0
2,1993-11-02,3.6615393002827963,3.685315529505412,3.5426581541697186,3.566434383392334,182600,0.0,0.0
3,1993-11-03,3.518883623034749,3.6139885858194716,3.495107382338568,3.590212345123291,146300,0.0,0.0
4,1993-11-04,3.566434383392334,3.59021061261495,3.566434383392334,3.566434383392334,48300,0.0,0.0
5,1993-11-05,3.566434383392334,3.59021061261495,3.566434383392334,3.566434383392334,13900,0.0,0.0
6,1993-11-08,3.5664361044271105,3.590212345123291,3.5664361044271105,3.590212345123291,22800,0.0,0.0
7,1993-11-09,3.59021061261495,3.613986841837565,3.566434383392334,3.566434383392334,10600,0.0,0.0
8,1993-11-10,3.590212345123291,3.6139885858194716,3.590212345123291,3.590212345123291,143900,0.0,0.0
9,1993-11-11,3.590212345123291,3.590212345123291,3.590212345123291,3.590212345123291,29800,0.0,0.0
10,1993-11-12,3.5902097915348254,3.613986015319824,3.5902097915348254,3.613986015319824,10500,0.0,0.0
11,1993-11-15,3.5664347377983296,3.5664347377983296,3.4951060430423633,3.5188822746276855,181600,0.0,0.0
12,1993-11-16,3.495105028152466,3.518881252833775,3.495105028152466,3.495105028152466,33400,0.0,0.0
13,1993-11-17,3.5188799753581006,3.5188799753581006,3.471327543258667,3.471327543258667,73900,0.0,0.0
14,1993-11-18,3.471328874006339,3.471328874006339,3.352447748184204,3.352447748184204,75900,0.0,0.0
15,1993-11-19,3.233567414460359,3.257343645449038,3.1146862595169633,3.2097911834716797,126700,0.0,0.0
16,1993-11-22,3.1622387214943215,3.2097911834716797,3.1384624905056424,3.2097911834716797,32100,0.0,0.0
17,1993-11-23,3.18601647258675,3.257345199584961,3.18601647258675,3.257345199584961,20300,0.0,0.0
18,1993-11-24,3.2097911834716797,3.257343645449038,3.2097911834716797,3.2097911834716797,9800,0.0,0.0
19,1993-11-26,3.2335667610168457,3.2335667610168457,3.2335667610168457,3.2335667610168457,2500,0.0,0.0
20,1993-11-29,3.257345199584961,3.257345199584961,3.209792714919487,3.257345199584961,48100,0.0,0.0
21,1993-11-30,3.257345199584961,3.281121441917698,3.209792714919487,3.257345199584961,38500,0.0,0.0
22,1993-12-01,3.2573429872007935,3.2573429872007935,3.2335667610168457,3.2335667610168457,12700,0.0,0.0
23,1993-12-02,3.233568957252224,3.257345199584961,3.209792714919487,3.257345199584961,14800,0.0,0.0
24,1993-12-03,3.2573425480297633,3.352447439943041,3.2573425480297633,3.3286712169647217,19600,0.0,0.0
25,1993-12-06,3.3286712169647217,3.3286712169647217,3.2811187710080825,3.3286712169647217,6000,0.0,0.0
26,1993-12-07,3.328672284665315,3.328672284665315,3.233567362246306,3.2811198234558105,25100,0.0,0.0
27,1993-12-08,3.281121441917698,3.281121441917698,3.209792714919487,3.257345199584961,8500,0.0,0.0
28,1993-12-09,3.281119876437717,3.281119876437717,3.1622387214943215,3.2097911834716797,10600,0.0,0.0
29,1993-12-10,3.2097911834716797,3.2097911834716797,3.1860149524830006,3.2097911834716797,9500,0.0,0.0
30,1993-12-13,3.162237573753704,3.162237573753704,3.114685129035603,3.1384613513946533,69000,0.0,0.0
31,1993-12-14,3.1622381868647103,3.233566867771433,3.138461959895803,3.186014413833618,18000,0.0,0.0
32,1993-12-15,3.1622378826141357,3.2097903319767545,3.1384616579328264,3.1622378826141357,36100,0.0,0.0
33,1993-12-16,3.162237573753704,3.162237573753704,3.1384613513946533,3.1384613513946533,7900,0.0,0.0
34,1993-12-17,3.1384613513946533,3.162237573753704,3.114685129035603,3.1384613513946533,9600,0.0,0.0
35,1993-12-20,3.138462044298649,3.138462044298649,2.9958046786487103,3.0433571338653564,58500,0.0,0.0
36,1993-12-21,2.995804509451223,3.090909414513167,2.995804509451223,3.0671331882476807,54400,0.0,0.0
37,1993-12-22,3.0909089066765523,3.1384613513946533,3.0909089066765523,3.1384613513946533,21800,0.0,0.0
38,1993-12-23,3.186014107295445,3.186014107295445,3.1384616579328264,3.1622378826141357,12200,0.0,0.0
39,1993-12-27,3.186014413833618,3.2097906408025256,3.186014413833618,3.186014413833618,35500,0.0,0.0
40,1993-12-28,3.2097906408025256,3.2097906408025256,3.186014413833618,3.186014413833618,49500,0.0,0.0
41,1993-12-29,3.186014107295445,3.2097903319767545,3.1622378826141357,3.1622378826141357,23600,0.0,0.0
42,1993-12-30,3.1622381868647103,3.2097906408025256,3.138461959895803,3.186014413833618,66700,0.0,0.0
43,1993-12-31,3.2097903319767545,3.2097903319767545,3.1384616579328264,3.1622378826141357,41100,0.0,0.0
44,1994-01-03,3.1860149524830006,3.2097911834716797,3.1860149524830006,3.2097911834716797,1900,0.0,0.0
45,1994-01-04,3.233567414460359,3.233567414460359,3.2097911834716797,3.2097911834716797,10100,0.0,0.0
46,1994-01-05,3.2097911834716797,3.233567414460359,3.1860149524830006,3.2097911834716797,18500,0.0,0.0
47,1994-01-06,3.186014413833618,3.186014413833618,3.1622381868647103,3.186014413833618,15100,0.0,0.0
48,1994-01-07,3.1622387214943215,3.233567414460359,3.1622387214943215,3.2097911834716797,18000,0.0,0.0
49,1994-01-10,3.233566622362069,3.352447748184204,3.233566622362069,3.352447748184204,18600,0.0,0.0
50,1994-01-11,3.352449946000543,3.3762261867523193,3.328673705248766,3.3762261867523193,6300,0.0,0.0
51,1994-01-12,3.376224581178252,3.423777040068086,3.376224581178252,3.400000810623169,17700,0.0,0.0
52,1994-01-13,3.4000024275040963,3.4000024275040963,3.352449946000543,3.3762261867523193,6000,0.0,0.0
53,1994-01-14,3.3762236629213604,3.3762236629213604,3.3286712169647217,3.3286712169647217,5600,0.0,0.0
54,1994-01-17,3.304894993986402,3.3286712169647217,3.304894993986402,3.3286712169647217,12600,0.0,0.0
55,1994-01-18,3.2811175181711323,3.304893732070923,3.2811175181711323,3.304893732070923,6300,0.0,0.0
56,1994-01-19,3.3286721222884172,3.423777040068086,3.3286721222884172,3.400000810623169,9900,0.0,0.0
57,1994-01-20,3.423776108877999,3.423776108877999,3.3286712169647217,3.3286712169647217,13000,0.0,0.0
58,1994-01-21,3.376224581178252,3.400000810623169,3.3286721222884172,3.400000810623169,7200,0.0,0.0
59,1994-01-24,3.4000001985130583,3.4000001985130583,3.328671523019777,3.352447748184204,4900,0.0,0.0
60,1994-01-25,3.352449946000543,3.4000024275040963,3.352449946000543,3.3762261867523193,18900,0.0,0.0
61,1994-01-26,3.3762239733486314,3.3762239733486314,3.328671523019777,3.352447748184204,1300,0.0,0.0
62,1994-01-27,3.3762261867523193,3.3762261867523193,3.352449946000543,3.3762261867523193,2800,0.0,0.0
63,1994-01-28,3.352449946000543,3.3762261867523193,3.352449946000543,3.3762261867523193,13000,0.0,0.0
64,1994-01-31,3.376224581178252,3.400000810623169,3.376224581178252,3.400000810623169,26300,0.0,0.0
65,1994-02-01,3.400000810623169,3.400000810623169,3.376224581178252,3.400000810623169,20400,0.0,0.0
66,1994-02-02,3.400000810623169,3.400000810623169,3.3524483517333343,3.400000810623169,18400,0.0,0.0
67,1994-02-03,3.4000011103020777,3.4237773418426514,3.4000011103020777,3.4237773418426514,11000,0.0,0.0
68,1994-02-04,3.4237764236774852,3.4237764236774852,3.352447748184204,3.352447748184204,8500,0.0,0.0
69,1994-02-07,3.372683791847496,3.444955587387085,3.372683791847496,3.444955587387085,6800,0.23,0.0
70,1994-02-08,3.4208672046661377,3.444957818783505,3.396776590548771,3.4208672046661377,6400,0.0,0.0
71,1994-02-09,3.4208650852071827,3.541318081165182,3.4208650852071827,3.4931368827819824,11700,0.0,0.0
72,1994-02-10,3.4690444469451904,3.49313503338231,3.4690444469451904,3.4690444469451904,8200,0.0,0.0
73,1994-02-11,3.49313503338231,3.49313503338231,3.4449538605080714,3.4690444469451904,41900,0.0,0.0
74,1994-02-14,3.469046283590383,3.4931368827819824,3.469046283590383,3.4931368827819824,23300,0.0,0.0
75,1994-02-15,3.469047154465767,3.517228364944458,3.469047154465767,3.517228364944458,117300,0.0,0.0
76,1994-02-16,3.493138231687098,3.6376818826534607,3.493138231687098,3.589500665664673,48000,0.0,0.0
77,1994-02-17,3.6376818826534607,3.6376818826534607,3.589500665664673,3.589500665664673,56500,0.0,0.0
78,1994-02-18,3.589500665664673,3.613591274159067,3.589500665664673,3.589500665664673,4500,0.0,0.0
79,1994-02-22,3.565408945083618,3.565408945083618,3.565408945083618,3.565408945083618,2000,0.0,0.0
80,1994-02-23,3.5894995460639127,3.5894995460639127,3.565408945083618,3.565408945083618,6000,0.0,0.0
81,1994-02-24,3.541317939758301,3.541317939758301,3.541317939758301,3.541317939758301,1500,0.0,0.0
82,1994-02-25,3.5413183441033236,3.5894995460639127,3.5413183441033236,3.565408945083618,10200,0.0,0.0
83,1994-02-28,3.565409978230794,3.613591194152832,3.565409978230794,3.613591194152832,3900,0.0,0.0
